profileName,profileDesc,recommendedCategories,cautiousCategories,riskTags,dimMathLogic,dimInfoSystems,dimEngineering,bucketStem,bucketBusiness,bucketHumanities
"哲学·兴趣驱动型","","中国语言文学类; 外国语言文学类; 哲学类; 历史学类; 教育学类","公共管理类; 体育学类; 金融学类; 工商管理类","",25,25,55,2,8,90
"经济学·兴趣驱动型","","经济学类; 金融学类; 工商管理类; 电子商务类; 旅游管理类","管理科学与工程类; 新闻传播学类; 体育学类; 计算机类","",25,25,55,22,88,10
"经济学·能力匹配型","","经济学类; 金融学类; 工商管理类; 电子商务类; 旅游管理类","管理科学与工程类; 新闻传播学类; 体育学类; 计算机类","",25,25,55,22,88,10
"经济学·路径规划型","","经济学类; 金融学类; 工商管理类; 电子商务类; 旅游管理类","管理科学与工程类; 新闻传播学类; 体育学类; 计算机类","",25,25,55,22,88,10
"金融学·兴趣驱动型","","经济学类; 金融学类; 工商管理类; 旅游管理类; 经济与贸易类","管理科学与工程类; 新闻传播学类; 体育学类; 计算机类","",25,25,55,22,88,10
"金融学·能力匹配型","","经济学类; 金融学类; 工商管理类; 旅游管理类; 经济与贸易类","管理科学与工程类; 新闻传播学类; 体育学类; 计算机类","",25,25,55,22,88,10
"金融学·路径规划型","","经济学类; 金融学类; 工商管理类; 旅游管理类; 经济与贸易类","管理科学与工程类; 新闻传播学类; 体育学类; 计算机类","",25,25,55,22,88,10
"经济与贸易·兴趣驱动型","","经济学类; 金融学类; 工商管理类; 电子商务类; 旅游管理类","管理科学与工程类; 新闻传播学类; 体育学类; 计算机类","",25,25,55,22,88,10
"经济与贸易·能力匹配型","","经济学类; 金融学类; 工商管理类; 电子商务类; 旅游管理类","管理科学与工程类; 新闻传播学类; 体育学类; 计算机类","",25,25,55,22,88,10
"财政学·兴趣驱动型","","经济学类; 金融学类; 工商管理类; 电子商务类; 旅游管理类","管理科学与工程类; 新闻传播学类; 体育学类; 临床医学类","",25,25,55,22,88,10
"财政学·能力匹配型","","经济学类; 金融学类; 工商管理类; 电子商务类; 旅游管理类","管理科学与工程类; 新闻传播学类; 体育学类; 临床医学类","",25,25,55,22,88,10
"法学·兴趣驱动型","","教育学类; 法学类; 政治学类; 社会学类; 新闻传播学类","体育学类; 金融学类; 工商管理类; 经济与贸易类","",25,25,55,8,20,45
"法学·能力匹配型","","教育学类; 法学类; 政治学类; 社会学类; 新闻传播学类","体育学类; 金融学类; 工商管理类; 经济与贸易类","",25,25,55,8,20,45
"法学·路径规划型","","教育学类; 法学类; 政治学类; 社会学类; 新闻传播学类","体育学类; 金融学类; 工商管理类; 经济与贸易类","",25,25,55,8,20,45
"政治学·兴趣驱动型","","教育学类; 法学类; 政治学类; 社会学类; 新闻传播学类","体育学类; 金融学类; 工商管理类; 经济与贸易类","",25,25,55,8,20,45
"政治学·能力匹配型","","教育学类; 法学类; 政治学类; 社会学类; 新闻传播学类","体育学类; 金融学类; 工商管理类; 经济与贸易类","",25,25,55,8,20,45
"社会学·兴趣驱动型","","教育学类; 法学类; 政治学类; 社会学类; 新闻传播学类","体育学类; 金融学类; 工商管理类; 经济与贸易类","",25,25,55,8,20,45
"社会学·能力匹配型","","教育学类; 法学类; 政治学类; 社会学类; 新闻传播学类","体育学类; 金融学类; 工商管理类; 经济与贸易类","",25,25,55,8,20,45
"马克思主义理论·兴趣驱动型","","教育学类; 法学类; 政治学类; 社会学类; 新闻传播学类","体育学类; 金融学类; 工商管理类; 经济与贸易类","",25,25,55,8,20,45
"公安学·兴趣驱动型","","教育学类; 法学类; 政治学类; 社会学类; 新闻传播学类","体育学类; 金融学类; 工商管理类; 经济与贸易类","",25,25,55,8,20,45
"民族学·兴趣驱动型","","中国语言文学类; 外国语言文学类; 哲学类; 历史学类; 教育学类","公共管理类; 体育学类; 金融学类; 工商管理类","",25,25,55,2,8,90
"教育学·兴趣驱动型","","教育学类; 法学类; 政治学类; 社会学类; 新闻传播学类","体育学类; 金融学类; 工商管理类; 经济与贸易类","",25,25,55,8,20,45
"教育学·能力匹配型","","教育学类; 法学类; 政治学类; 社会学类; 新闻传播学类","体育学类; 金融学类; 工商管理类; 经济与贸易类","",25,25,55,8,20,45
"教育学·路径规划型","","教育学类; 法学类; 政治学类; 社会学类; 新闻传播学类","体育学类; 金融学类; 工商管理类; 经济与贸易类","",25,25,55,8,20,45
"教育学·误解待澄清型","","教育学类; 法学类; 政治学类; 社会学类; 新闻传播学类","体育学类; 金融学类; 工商管理类; 电子商务类","",25,25,55,6,17,38
"体育学·兴趣驱动型","","临床医学类; 动物医学类; 护理学类; 口腔医学类; 植物生产类","生物医学工程类; 计算机类; 电子信息类; 自动化类","",55,25,55,38,5,5
"体育学·能力匹配型","","临床医学类; 动物医学类; 护理学类; 口腔医学类; 植物生产类","生物医学工程类; 计算机类; 电子信息类; 自动化类","",55,25,55,38,5,5
"中国语言文学·兴趣驱动型","","中国语言文学类; 外国语言文学类; 哲学类; 历史学类; 教育学类","公共管理类; 体育学类; 金融学类; 工商管理类","",25,25,55,2,8,90
"中国语言文学·能力匹配型","","中国语言文学类; 外国语言文学类; 哲学类; 历史学类; 教育学类","公共管理类; 体育学类; 金融学类; 工商管理类","",25,25,55,2,8,90
"中国语言文学·路径规划型","","中国语言文学类; 外国语言文学类; 哲学类; 历史学类; 教育学类","公共管理类; 体育学类; 金融学类; 工商管理类","",25,25,55,2,8,90
"外国语言文学·兴趣驱动型","","中国语言文学类; 外国语言文学类; 哲学类; 历史学类; 教育学类","公共管理类; 体育学类; 金融学类; 工商管理类","",25,25,55,2,8,90
"外国语言文学·能力匹配型","","中国语言文学类; 外国语言文学类; 哲学类; 历史学类; 教育学类","公共管理类; 体育学类; 金融学类; 工商管理类","",25,25,55,2,8,90
"外国语言文学·路径规划型","","中国语言文学类; 外国语言文学类; 哲学类; 历史学类; 教育学类","公共管理类; 体育学类; 金融学类; 工商管理类","",25,25,55,2,8,90
"新闻传播学·兴趣驱动型","","教育学类; 法学类; 政治学类; 社会学类; 新闻传播学类","体育学类; 金融学类; 工商管理类; 经济与贸易类","",25,25,55,8,20,45
"新闻传播学·能力匹配型","","教育学类; 法学类; 政治学类; 社会学类; 新闻传播学类","体育学类; 金融学类; 工商管理类; 经济与贸易类","",25,25,55,8,20,45
"新闻传播学·路径规划型","","教育学类; 法学类; 政治学类; 社会学类; 新闻传播学类","体育学类; 金融学类; 工商管理类; 经济与贸易类","",25,25,55,8,20,45
"历史学·兴趣驱动型","","中国语言文学类; 外国语言文学类; 哲学类; 历史学类; 教育学类","公共管理类; 体育学类; 金融学类; 工商管理类","",25,25,55,2,8,90
"数学·兴趣驱动型","","计算机类; 电子信息类; 自动化类; 机械类; 电气类","航空航天类; 建筑类; 管理科学与工程类; 生物医学工程类","",85,55,70,88,8,2
"数学·能力匹配型","","计算机类; 电子信息类; 自动化类; 机械类; 电气类","航空航天类; 建筑类; 管理科学与工程类; 生物医学工程类","",85,55,70,88,8,2
"数学·路径规划型","","计算机类; 电子信息类; 自动化类; 机械类; 电气类","航空航天类; 建筑类; 管理科学与工程类; 生物医学工程类","",85,55,70,88,8,2
"物理学·兴趣驱动型","","计算机类; 电子信息类; 自动化类; 机械类; 电气类","航空航天类; 建筑类; 管理科学与工程类; 生物医学工程类","",85,55,70,88,8,2
"物理学·能力匹配型","","计算机类; 电子信息类; 自动化类; 机械类; 电气类","航空航天类; 建筑类; 管理科学与工程类; 生物医学工程类","",85,55,70,88,8,2
"化学·兴趣驱动型","","计算机类; 电子信息类; 自动化类; 机械类; 电气类","航空航天类; 建筑类; 管理科学与工程类; 生物医学工程类","",85,55,70,88,8,2
"化学·能力匹配型","","计算机类; 电子信息类; 自动化类; 机械类; 电气类","航空航天类; 建筑类; 管理科学与工程类; 生物医学工程类","",85,55,70,88,8,2
"生物科学·兴趣驱动型","","临床医学类; 动物医学类; 护理学类; 口腔医学类; 植物生产类","生物医学工程类; 计算机类; 电子信息类; 自动化类","",55,25,70,38,5,5
"生物科学·能力匹配型","","临床医学类; 动物医学类; 护理学类; 口腔医学类; 植物生产类","生物医学工程类; 计算机类; 电子信息类; 自动化类","",55,25,70,38,5,5
"统计学·兴趣驱动型","","计算机类; 电子信息类; 自动化类; 电气类; 数学类","航空航天类; 管理科学与工程类; 金融学类; 工商管理类","",85,85,70,88,55,2
"统计学·能力匹配型","","计算机类; 电子信息类; 自动化类; 电气类; 数学类","航空航天类; 管理科学与工程类; 金融学类; 工商管理类","",85,85,70,88,55,2
"统计学·路径规划型","","计算机类; 电子信息类; 自动化类; 电气类; 数学类","航空航天类; 管理科学与工程类; 金融学类; 工商管理类","",85,85,70,88,55,2
"心理学·兴趣驱动型","","教育学类; 法学类; 政治学类; 社会学类; 新闻传播学类","体育学类; 金融学类; 工商管理类; 经济与贸易类","",25,25,70,8,20,45
"心理学·能力匹配型","","教育学类; 法学类; 政治学类; 社会学类; 新闻传播学类","体育学类; 金融学类; 工商管理类; 经济与贸易类","",25,25,70,8,20,45
"地理科学·兴趣驱动型","","计算机类; 电子信息类; 自动化类; 机械类; 电气类","航空航天类; 建筑类; 管理科学与工程类; 生物医学工程类","",85,55,70,88,8,2
"地理科学·能力匹配型","","计算机类; 电子信息类; 自动化类; 机械类; 电气类","航空航天类; 建筑类; 管理科学与工程类; 生物医学工程类","",85,55,70,88,8,2
"天文学·兴趣驱动型","","计算机类; 电子信息类; 自动化类; 机械类; 电气类","航空航天类; 建筑类; 管理科学与工程类; 生物医学工程类","",85,55,70,88,8,2
"大气科学·兴趣驱动型","","计算机类; 电子信息类; 自动化类; 机械类; 电气类","航空航天类; 建筑类; 管理科学与工程类; 生物医学工程类","",85,55,70,88,8,2
"海洋科学·兴趣驱动型","","计算机类; 电子信息类; 自动化类; 机械类; 电气类","航空航天类; 建筑类; 管理科学与工程类; 生物医学工程类","",85,55,70,88,8,2
"地球物理学·兴趣驱动型","","计算机类; 电子信息类; 自动化类; 机械类; 电气类","航空航天类; 建筑类; 管理科学与工程类; 生物医学工程类","",85,55,70,88,8,2
"地质学·兴趣驱动型","","计算机类; 电子信息类; 自动化类; 机械类; 电气类","航空航天类; 建筑类; 管理科学与工程类; 生物医学工程类","",85,55,70,88,8,2
