profileId,profileName,userType,recommendedCategories,optionalCategories,cautiousCategories,riskTags,dimMathLogic,dimInfoSystems,dimEngineering,bucketStem,bucketBusiness,bucketHumanities,anomalies
stem_1,"理工型·机械类·理工强","single","机械类","计算机类; 电子信息类; 统计学类","","",30,20,40,100,32,9,""
stem_2,"理工型·机械类·理工强","single","机械类","电子信息类; 计算机类; 电气类","","",30,20,40,100,0,17,""
stem_3,"理工型·计算机类·理工强","single","计算机类","电子信息类; 机械类; 设计学类","","",30,20,40,100,37,0,""
stem_4,"理工型·计算机类·理工强","single","计算机类; 电子信息类","电气类; 能源动力类; 自动化类; 统计学类","","",30,20,40,100,22,61,""
stem_5,"理工型·机械类·理工强","single","机械类; 土木类","设计学类; 电子信息类; 电气类; 能源动力类","","",30,20,40,100,57,0,""
business_6,"商科型·经济学类·人文强·社科强·商科强","single","经济学类","工商管理类; 会计学; 财务管理类; 金融学类","","",20,13,27,67,100,78,""
business_7,"商科型·工商管理类·社科强·商科强·理工强","single","工商管理类","会计学; 经济学类; 财务管理类; 金融学类","","",30,20,40,100,81,0,""
business_8,"商科型·经济学类·商科强·理工强","single","经济学类","统计学类; 会计学; 计算机类; 财务管理类","","",30,20,40,100,94,41,""
business_9,"商科型·经济学类·人文强·商科强·理工强·艺术创作强","single","经济学类","工商管理类; 会计学; 财务管理类; 金融学类","","",22,15,29,73,73,100,""
business_10,"商科型·经济学类·理工强","single","经济学类","设计学类; 工商管理类; 会计学","","",30,20,40,100,27,0,""
humanities_11,"人文型·中国语言文学类·人文强·理工强","single","中国语言文学类","哲学类; 历史学类; 外国语言文学类","","",30,20,40,100,23,95,""
humanities_12,"人文型·中国语言文学类·人文强·社科强·医学/生命强·艺术创作强","single","中国语言文学类","美术学类; 音乐与舞蹈学类; 哲学类; 历史学类","","",15,10,20,50,0,93,""
humanities_13,"人文型·哲学类·人文强·理工强","single","哲学类","中国语言文学类; 历史学类; 外国语言文学类","","",26,17,35,87,0,100,""
humanities_14,"人文型·中国语言文学类·人文强·理工强","single","中国语言文学类","哲学类; 历史学类; 外国语言文学类; 美术学类","","",24,16,32,80,60,100,""
humanities_15,"人文型·中国语言文学类·人文强·理工强","single","中国语言文学类","哲学类; 历史学类; 经济学类","","",30,20,40,100,47,93,""
social_science_16,"社科型·教育学类·社科强·理工强","single","教育学类","法学类; 中国语言文学类; 外国语言文学类","","",30,20,40,100,0,50,""
social_science_17,"社科型·教育学类·社科强·商科强","single","教育学类; 工商管理类","公共管理类; 法学类; 会计学; 经济学类","","",4,3,6,14,100,38,""
social_science_18,"社科型·教育学类·社科强·商科强·医学/生命强","single","教育学类","法学类; 公共管理类; 工商管理类; 会计学","","",10,7,13,33,83,67,""
social_science_19,"社科型·教育学类·社科强","single","教育学类","法学类","","",12,8,16,40,0,20,""
social_science_20,"社科型·法学类·人文强·社科强·商科强","single","法学类","教育学类; 工商管理类; 历史学类","","",15,10,20,50,100,70,""
art_creative_21,"艺术型·设计学类·理工强","single","设计学类","工商管理类; 机械类; 教育学类; 计算机类","","",30,20,40,100,45,10,""
art_creative_22,"艺术型·美术学类·艺术创作强","single","美术学类; 音乐与舞蹈学类","设计学类; 戏剧与影视学类; 中国语言文学类","","",10,7,14,35,35,57,""
art_creative_23,"艺术型·美术学类·艺术创作强","single","美术学类","音乐与舞蹈学类; 戏剧与影视学类; 中国语言文学类","","",8,5,10,25,13,69,""
art_creative_24,"艺术型·美术学类·艺术创作强","single","美术学类; 音乐与舞蹈学类","戏剧与影视学类; 设计学类","","",6,4,8,19,25,13,""
art_creative_25,"艺术型·美术学类·艺术创作强","single","美术学类; 音乐与舞蹈学类","戏剧与影视学类; 设计学类; 中国语言文学类","","",8,5,10,25,19,25,""
