user_seed,topCategory,topCategoryDomain,topCategoryChangeCount,topCategoryDomainDrift,recommendedMajorsStable,recommendedMajorsStableRank1,emptyCount,run1_topCategory,run2_topCategory,run3_topCategory,run4_topCategory,run5_topCategory,run6_topCategory,run7_topCategory,run8_topCategory,run9_topCategory,run10_topCategory,run1_recommended,run2_recommended,run3_recommended,run4_recommended,run5_recommended,run6_recommended,run7_recommended,run8_recommended,run9_recommended,run10_recommended,run1_possible,run2_possible,run3_possible,run4_possible,run5_possible,run6_possible,run7_possible,run8_possible,run9_possible,run10_possible,run1_cautious,run2_cautious,run3_cautious,run4_cautious,run5_cautious,run6_cautious,run7_cautious,run8_cautious,run9_cautious,run10_cautious,fsVariance_humanities,fsVariance_social_science,fsVariance_business,fsVariance_stem,fsVariance_life_health,fsVariance_art_creative,fsStddev_humanities,fsStddev_social_science,fsStddev_business,fsStddev_stem,fsStddev_life_health,fsStddev_art_creative,fsNorm_humanities,fsNorm_social_science,fsNorm_business,fsNorm_stem,fsNorm_life_health,fsNorm_art_creative
7865,教育学类,social_science,0,0,TRUE,TRUE,0,"教育学类","教育学类","教育学类","教育学类","教育学类","教育学类","教育学类","教育学类","教育学类","教育学类","education","education","education","education","education","education","education","education","education","education","law-class|chinese-literature|foreign-languages","law-class|chinese-literature|foreign-languages","law-class|chinese-literature|foreign-languages","law-class|chinese-literature|foreign-languages","law-class|chinese-literature|foreign-languages","law-class|chinese-literature|foreign-languages","law-class|chinese-literature|foreign-languages","law-class|chinese-literature|foreign-languages","law-class|chinese-literature|foreign-languages","law-class|chinese-literature|foreign-languages","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,50,90,0,100,20,0
7866,教育学类,social_science,0,0,TRUE,TRUE,0,"教育学类","教育学类","教育学类","教育学类","教育学类","教育学类","教育学类","教育学类","教育学类","教育学类","education|business-administration","education|business-administration","education|business-administration","education|business-administration","education|business-administration","education|business-administration","education|business-administration","education|business-administration","education|business-administration","education|business-administration","public-administration|law-class|accounting|economics-class","public-administration|law-class|accounting|economics-class","public-administration|law-class|accounting|economics-class","public-administration|law-class|accounting|economics-class","public-administration|law-class|accounting|economics-class","public-administration|law-class|accounting|economics-class","public-administration|law-class|accounting|economics-class","public-administration|law-class|accounting|economics-class","public-administration|law-class|accounting|economics-class","public-administration|law-class|accounting|economics-class","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,38,86,100,14,0,14
7867,教育学类,social_science,0,0,TRUE,TRUE,0,"教育学类","教育学类","教育学类","教育学类","教育学类","教育学类","教育学类","教育学类","教育学类","教育学类","education","education","education","education","education","education","education","education","education","education","law-class|public-administration|business-administration|accounting","law-class|public-administration|business-administration|accounting","law-class|public-administration|business-administration|accounting","law-class|public-administration|business-administration|accounting","law-class|public-administration|business-administration|accounting","law-class|public-administration|business-administration|accounting","law-class|public-administration|business-administration|accounting","law-class|public-administration|business-administration|accounting","law-class|public-administration|business-administration|accounting","law-class|public-administration|business-administration|accounting","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,67,100,83,33,100,0
7868,教育学类,social_science,0,0,TRUE,TRUE,0,"教育学类","教育学类","教育学类","教育学类","教育学类","教育学类","教育学类","教育学类","教育学类","教育学类","education","education","education","education","education","education","education","education","education","education","law-class","law-class","law-class","law-class","law-class","law-class","law-class","law-class","law-class","law-class","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,20,100,0,40,60,50
7869,设计学类,art_creative,0,0,TRUE,TRUE,0,"设计学类","设计学类","设计学类","设计学类","设计学类","设计学类","设计学类","设计学类","设计学类","设计学类","design","design","design","design","design","design","design","design","design","design","business-administration|mechanical|education|computer-science","business-administration|mechanical|education|computer-science","business-administration|mechanical|education|computer-science","business-administration|mechanical|education|computer-science","business-administration|mechanical|education|computer-science","business-administration|mechanical|education|computer-science","business-administration|mechanical|education|computer-science","business-administration|mechanical|education|computer-science","business-administration|mechanical|education|computer-science","business-administration|mechanical|education|computer-science","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,10,35,45,100,0,50
7870,中国语言文学类,humanities,0,0,TRUE,TRUE,0,"中国语言文学类","中国语言文学类","中国语言文学类","中国语言文学类","中国语言文学类","中国语言文学类","中国语言文学类","中国语言文学类","中国语言文学类","中国语言文学类","chinese-literature","chinese-literature","chinese-literature","chinese-literature","chinese-literature","chinese-literature","chinese-literature","chinese-literature","chinese-literature","chinese-literature","philosophy-class|history-class|foreign-languages","philosophy-class|history-class|foreign-languages","philosophy-class|history-class|foreign-languages","philosophy-class|history-class|foreign-languages","philosophy-class|history-class|foreign-languages","philosophy-class|history-class|foreign-languages","philosophy-class|history-class|foreign-languages","philosophy-class|history-class|foreign-languages","philosophy-class|history-class|foreign-languages","philosophy-class|history-class|foreign-languages","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,95,0,23,100,9,59
7871,经济学类,business,0,0,TRUE,TRUE,0,"经济学类","经济学类","经济学类","经济学类","经济学类","经济学类","经济学类","经济学类","经济学类","经济学类","economics-class","economics-class","economics-class","economics-class","economics-class","economics-class","economics-class","economics-class","economics-class","economics-class","business-administration|accounting|financial-management|finance","business-administration|accounting|financial-management|finance","business-administration|accounting|financial-management|finance","business-administration|accounting|financial-management|finance","business-administration|accounting|financial-management|finance","business-administration|accounting|financial-management|finance","business-administration|accounting|financial-management|finance","business-administration|accounting|financial-management|finance","business-administration|accounting|financial-management|finance","business-administration|accounting|financial-management|finance","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,78,72,100,67,67,0
7872,工商管理类,business,0,0,TRUE,TRUE,0,"工商管理类","工商管理类","工商管理类","工商管理类","工商管理类","工商管理类","工商管理类","工商管理类","工商管理类","工商管理类","business-administration","business-administration","business-administration","business-administration","business-administration","business-administration","business-administration","business-administration","business-administration","business-administration","accounting|economics-class|financial-management|finance","accounting|economics-class|financial-management|finance","accounting|economics-class|financial-management|finance","accounting|economics-class|financial-management|finance","accounting|economics-class|financial-management|finance","accounting|economics-class|financial-management|finance","accounting|economics-class|financial-management|finance","accounting|economics-class|financial-management|finance","accounting|economics-class|financial-management|finance","accounting|economics-class|financial-management|finance","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,88,81,100,38,0
7873,中国语言文学类,humanities,0,0,TRUE,TRUE,0,"中国语言文学类","中国语言文学类","中国语言文学类","中国语言文学类","中国语言文学类","中国语言文学类","中国语言文学类","中国语言文学类","中国语言文学类","中国语言文学类","chinese-literature","chinese-literature","chinese-literature","chinese-literature","chinese-literature","chinese-literature","chinese-literature","chinese-literature","chinese-literature","chinese-literature","fine-arts|music-dance|philosophy-class|history-class","fine-arts|music-dance|philosophy-class|history-class","fine-arts|music-dance|philosophy-class|history-class","fine-arts|music-dance|philosophy-class|history-class","fine-arts|music-dance|philosophy-class|history-class","fine-arts|music-dance|philosophy-class|history-class","fine-arts|music-dance|philosophy-class|history-class","fine-arts|music-dance|philosophy-class|history-class","fine-arts|music-dance|philosophy-class|history-class","fine-arts|music-dance|philosophy-class|history-class","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,93,71,0,50,100,86
7874,哲学类,humanities,0,0,TRUE,TRUE,0,"哲学类","哲学类","哲学类","哲学类","哲学类","哲学类","哲学类","哲学类","哲学类","哲学类","philosophy-class","philosophy-class","philosophy-class","philosophy-class","philosophy-class","philosophy-class","philosophy-class","philosophy-class","philosophy-class","philosophy-class","chinese-literature|history-class|foreign-languages","chinese-literature|history-class|foreign-languages","chinese-literature|history-class|foreign-languages","chinese-literature|history-class|foreign-languages","chinese-literature|history-class|foreign-languages","chinese-literature|history-class|foreign-languages","chinese-literature|history-class|foreign-languages","chinese-literature|history-class|foreign-languages","chinese-literature|history-class|foreign-languages","chinese-literature|history-class|foreign-languages","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,100,27,0,87,20,33
